Spices: Supply and disappearance,,,,,,,,,,,,,,,Filename: CTCSP,,Spices:  Supply and disappearance,,,,,,,,Filename: CTCSP,,Spices: Supply and disappearance,,,,,,,,Filename: CTCSP,
Year,"U.S. population, July 11",Production,,,,,Supply,,,,,,,,,,Supply--continued,,,,,,,,,,Supply--continued,,,,,Disappearance,,,,
,,,Dried chili peppers,,,,Imports4,,,,,,,,,,Imports--continued4,,,,,,,,,,Imports--continued4,,,,,,Exports,Net,Food disappearance,
,,Mustard,California,New Mexico,Total3,Total,Anise seed,Caraway seed,Fennel seed,"Anise seed, caraway seed, and fennel seed",Dried,Cassia5,Celery seed,Cinnamon,Cloves6,Coriander seed,Cumin seed,Ginger root,Mace,Mustard seed,Nutmeg,Paprika,"Pepper,",Pimento (allspice),Poppy seed,Sage,Sesame seed,Turmeric,Vanilla beans,Other spices8,Total imports,Total,,shipments,,
,,seed2,,,,production,,,,,capsicum,,,,,,,,,,,,black and,,,,,,,,,supply,,to ,Total,Per capita availability
,,,,,,,,,,,peppers,,,,,,,,,,,,white,,,,,,,,,,,Puerto Rico,,
,-- Millions --,"-------------------------------------------------------------------------------------------------------------------------- 1,000 pounds ------------------------------------------------------------------------------------------------------------------------------------------",,,,,,,,,,,,,,,"------------------------------------------------------------------------------------- 1,000 pounds --------------------------------------------------------------------------------------",,,,,,,,,,"----------------------------------------------------------------- 1,000 pounds --------------------------------------------------------------------",,,,,,,,,-- Pounds --
2004,293.463,"56,290.0","96,756.0","53,312.5","150,068.5","206,358.5","4,909.4","6,226.3","6,824.2",,"160,727.0","40,531.9","2,962.1",7/    ,"2,352.3","8,958.9","14,667.5","63,938.8",460.2,"153,838.3","3,943.9","31,161.9","145,485.1","2,712.3","9,661.9","5,974.1","94,486.2","5,799.5","1,475.4","236,720.8","1,003,818.0","1,210,176.5","211,824.2","-5,321.2","1,003,673.5",3.4
2005,296.186,"35,114.0","25,538.0","51,345.0","76,883.0","111,997.0","4,896.7","7,173.5","5,678.4",,"148,758.1","42,189.8","3,953.3",7/    ,"2,892.2","10,649.7","20,944.6","70,605.7",193.1,"167,645.1","3,982.4","47,054.4","147,472.4","2,116.8","10,860.9","6,855.1","94,823.0","6,386.8","3,319.2","241,233.7","1,049,685.0","1,161,682.0","219,056.1","-4,658.1","947,284.0",3.2
2006,298.996,"28,220.0","125,150.0","41,450.0","166,600.0","194,820.0","3,383.0","7,246.0","8,386.0",,"166,108.9","48,154.9","4,240.8",7/    ,"2,571.5","9,824.8","21,065.7","71,766.7",547.0,"177,286.3","4,211.0","50,239.9","155,578.2","1,913.9","10,470.2","5,147.2","95,459.9","6,337.3","3,425.2","293,943.6","1,147,308.2","1,342,128.2","212,692.8","5,494.3","1,123,941.2",3.8
2007,302.004,"34,670.0","43,846.0","29,575.0","73,421.0","108,091.0","3,784.5","6,943.7","8,478.2",,"155,413.1","48,660.2","3,572.6",7/    ,"3,428.0","12,225.4","22,201.0","78,287.9",352.7,"206,992.4","3,259.6","41,377.2","140,893.5","2,874.4","12,191.2","6,634.7","89,194.0","6,271.3","4,983.4","307,411.6","1,165,430.4","1,273,521.4","209,841.0","3,846.9","1,059,833.6",3.5
2008,304.798,"41,255.0","40,542.0","35,055.0","75,597.0","116,852.0","4,791.4","5,981.6","9,315.1",,"166,987.1","48,475.7","3,399.9",7/    ,"2,907.2","10,092.9","20,550.4","93,575.0",401.2,"188,834.4","4,374.8","54,887.1","142,834.4","4,294.0","13,902.7","6,413.4","83,675.4","8,383.8","4,404.8","309,930.9","1,188,413.2","1,305,265.2","232,381.3","14,742.9","1,058,141.0",3.5
2009,307.439,"49,364.0","61,662.0","44,950.0","106,612.0","155,976.0","4,754.8","5,532.7","7,724.0",,"178,774.9","44,032.3","3,480.3",7/    ,"3,278.3","9,835.6","20,197.3","93,752.9",259.8,"160,986.5","3,838.2","48,726.9","145,183.8","3,278.2","8,601.0","5,058.5","79,244.3","6,651.6","3,938.3","295,908.5","1,133,038.7","1,289,014.7","239,063.0",-539.9,"1,050,491.6",3.4
2010,309.767,"41,861.0","63,914.0","29,075.0","92,989.0","134,850.0","4,752.2","6,180.2","8,558.6",,"187,440.7","54,314.7","4,724.1",7/    ,"2,784.6","10,548.4","22,714.6","97,402.3",673.3,"169,300.6","3,868.1","40,322.4","155,355.3","2,794.0","10,216.0","4,967.2","81,577.6","7,763.8","3,927.3","312,999.4","1,193,185.7","1,328,035.7","257,661.9","-8,564.3","1,078,938.1",3.5
2011,312.139,"15,644.0","40,244.0","34,660.0","74,904.0","90,548.0","5,004.7","6,075.2","9,809.1",,"190,204.1","57,498.8","4,344.6",7/    ,"2,776.0","8,542.4","24,281.7","116,006.7","1,053.4","188,151.3","4,490.3","49,307.2","151,008.5","2,827.8","8,506.5","6,204.9","81,295.4","10,249.6","3,424.0","304,843.5","1,235,905.8","1,326,453.8","291,271.2","-4,207.6","1,039,390.2",3.3
2012,314.449,"31,215.0","39,400.0","40,725.0","80,125.0","111,340.0",9/    ,9/    ,9/    ,"22,740.8","198,389.9","52,345.9","2,788.3",7/    ,"3,842.8","9,377.0","26,233.6","123,610.0","1,171.6","177,734.6","4,632.9","63,630.1","137,669.5",667.3,"8,689.0","6,148.8","77,625.8","8,896.0","4,492.1","314,093.7","1,244,779.7","1,356,119.7","314,748.2","-5,808.5","1,047,179.9",3.3
2013,316.799,"36,727.0","74,852.0","32,980.0","107,832.0","144,559.0",9/    ,9/    ,9/    ,"22,950.3","198,048.2","61,922.1","3,466.6",7/    ,"4,346.3","11,224.7","28,105.9","126,875.7",815.7,"171,777.6","4,329.6","52,614.6","158,175.6",384.5,"11,966.8","7,466.7","76,157.7","10,027.1","3,982.3","326,543.5","1,281,181.6","1,425,740.6","345,492.9","-3,668.3","1,083,916.0",3.4
2014,319.133,"29,004.0","97,808.0","32,170.0","129,978.0","158,982.0",9/    ,9/    ,9/    ,"21,821.8","192,146.9","63,979.7","4,376.6",7/    ,"3,576.0","12,092.3","28,123.7","129,518.0",912.3,"175,164.7","4,005.7","51,109.0","151,691.7",689.6,"10,918.0","7,649.1","73,379.5","11,923.9","3,766.4","337,755.1","1,284,600.0","1,443,582.0","345,492.9","-5,960.5","1,104,049.6",3.5
"1Resident population plus the Armed Forces overseas. 2Production in preceding year minus estimated quantity used for seed. 3California, and beginning in 1976, New Mexico. 4Imports for consumption of specified ground and unground condiments, as reported by the Department of Commerce.  5Cassia, cassia buds, and cass vera. 6Includes stems. 7Cinnamon import series discontinued; combined with cassia beginning in 1989.  8Includes basil, cardamom seeds, capers, curry and curry powder products, dill, fenugreek seeds, laurel (bay) leaves, marjoram, mint leaves, origanum, parsley, rosemary, savory, thyme, mixed spices, and other spices and spice seeds (ground and unground) not individually reported. Includes shipments from Puerto Rico. 9Anise seed, caraway seed, and fennel seed series' have been combined after 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Calculated by ERS/USDA based on data from various sources (see http://www.ers.usda.gov/data-products/food-availability-(per-capita)-data-system/food-availability-documentation.aspx). Data last updated Feb. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
